data_source,zpid,address,price,bedrooms,bathrooms,sqft,lot_size,year_built,latitude,longitude,property_type,listing_url,zestimate,days_on_market,price_change,listing_status,photos,last_updated,price_per_sqft,has_garage,neighborhood
zillow_rapidapi,1773480,"3500 Oliver Ave N, Minneapolis, MN 55412",299900.0,4,2,2902.0,10454.4,2000,45.018833,-93.30663,Single Family,https://www.zillow.com/homedetails/3500-Oliver-Ave-N-Minneapolis-MN-55412/1773480_zpid/,303900.0,10.0,0.0,,https://photos.zillowstatic.com/fp/97abf2700c8229eb2772078dc6a4a2d9-p_e.jpg,2025-05-23T18:18:22.374957,103.0,False,Plymouth
zillow_rapidapi,1839211,"2318 Logan Ave N, Minneapolis, MN 55411",162000.0,3,2,2129.0,6098.4,2000,45.002995,-93.30475,Single Family,https://www.zillow.com/homedetails/2318-Logan-Ave-N-Minneapolis-MN-55411/1839211_zpid/,0.0,129.0,0.0,,https://photos.zillowstatic.com/fp/086ea2afcfcad61083b90ad6809e0f63-p_e.jpg,2025-05-23T18:18:22.375234,76.0,False,Roseville
zillow_rapidapi,1763852,"2901 Vincent Ave N, Minneapolis, MN 55411",395000.0,4,2,3226.0,5227.2,2000,45.009773,-93.31627,Single Family,https://www.zillow.com/homedetails/2901-Vincent-Ave-N-Minneapolis-MN-55411/1763852_zpid/,397600.0,9.0,0.0,,https://photos.zillowstatic.com/fp/d2ebe79e98e159e7de50ed8906cd970f-p_e.jpg,2025-05-23T18:18:22.375524,122.0,False,Plymouth
zillow_rapidapi,1808844,"4518 Colfax Ave N, Minneapolis, MN 55412",170000.0,2,1,1520.0,5227.2,2000,45.03726,-93.29231,Single Family,https://www.zillow.com/homedetails/4518-Colfax-Ave-N-Minneapolis-MN-55412/1808844_zpid/,172700.0,2.0,0.0,,https://photos.zillowstatic.com/fp/fafd8b737e30a6075299550ffd06c7b1-p_e.jpg,2025-05-23T18:18:22.375679,112.0,False,Roseville
zillow_rapidapi,1792251,"4248 16th Ave S, Minneapolis, MN 55407",339900.0,3,1,1830.0,0.14,2000,44.92542,-93.25147,Single Family,https://www.zillow.com/homedetails/4248-16th-Ave-S-Minneapolis-MN-55407/1792251_zpid/,339400.0,27.0,-10000.0,,https://photos.zillowstatic.com/fp/15cb474c05a80c50bb3066634d01308e-p_e.jpg,2025-05-23T18:18:22.375762,186.0,False,Roseville
zillow_rapidapi,1771495,"4012 Lyndale N, Minneapolis, MN 55409",375000.0,3,2,1652.0,5227.2,2000,44.929913,-93.288704,Single Family,https://www.zillow.com/homedetails/4012-Lyndale-N-Minneapolis-MN-55409/1771495_zpid/,373500.0,2.0,0.0,,https://photos.zillowstatic.com/fp/35cd7ca6f35edb70de6ad8c50645d332-p_e.jpg,2025-05-23T18:18:22.375941,227.0,False,Roseville
zillow_rapidapi,1807893,"5233 Fremont Ave N, Minneapolis, MN 55430",245000.0,3,1,1740.0,5227.2,2000,45.05034,-93.297,Single Family,https://www.zillow.com/homedetails/5233-Fremont-Ave-N-Minneapolis-MN-55430/1807893_zpid/,249100.0,30.0,0.0,,https://photos.zillowstatic.com/fp/83e63d5aa1344546365d87ef68f589a2-p_e.jpg,2025-05-23T18:18:22.376082,141.0,False,Blaine
zillow_rapidapi,445843166,"1115 E 38th St, Minneapolis, MN 55407",299000.0,3,2,2140.0,1742.4,2000,44.933994,-93.25799,Single Family,https://www.zillow.com/homedetails/1115-E-38th-St-Minneapolis-MN-55407/445843166_zpid/,299400.0,4.0,0.0,,https://photos.zillowstatic.com/fp/c915b9e3bf2515207a45418805a4843a-p_e.jpg,2025-05-23T18:18:22.376154,140.0,False,Roseville
zillow_rapidapi,1738086,"3621 38th Ave S, Minneapolis, MN 55406",350000.0,3,2,1660.0,5227.2,2000,44.93711,-93.21751,Single Family,https://www.zillow.com/homedetails/3621-38th-Ave-S-Minneapolis-MN-55406/1738086_zpid/,372100.0,14.0,0.0,,https://photos.zillowstatic.com/fp/49e2dac7fd0a2494dab816150b7bb369-p_e.jpg,2025-05-23T18:18:22.376227,211.0,False,Roseville
zillow_rapidapi,1698301,"3122 Arthur St NE, Minneapolis, MN 55418",374900.0,4,2,2544.0,5227.2,2000,45.024784,-93.23237,Single Family,https://www.zillow.com/homedetails/3122-Arthur-St-NE-Minneapolis-MN-55418/1698301_zpid/,374100.0,7.0,0.0,,https://photos.zillowstatic.com/fp/36ebc56c21c62de948dbe8f8a245857e-p_e.jpg,2025-05-23T18:18:22.376301,147.0,False,Roseville
zillow_rapidapi,1819102,"4823 Park Ave, Minneapolis, MN 55417",375000.0,3,2,1602.0,4356.0,2000,44.915356,-93.26477,Single Family,https://www.zillow.com/homedetails/4823-Park-Ave-Minneapolis-MN-55417/1819102_zpid/,377200.0,2.0,0.0,,https://photos.zillowstatic.com/fp/774ca04ea2fb5fed59fc5202ace4c1dc-p_e.jpg,2025-05-23T18:18:22.376394,234.0,False,Roseville
zillow_rapidapi,1850084,"2122 Thomas Ave N, Minneapolis, MN 55411",244900.0,3,1,2461.0,5227.2,2000,45.001324,-93.31296,Single Family,https://www.zillow.com/homedetails/2122-Thomas-Ave-N-Minneapolis-MN-55411/1850084_zpid/,245700.0,2.0,0.0,,https://photos.zillowstatic.com/fp/1b70262a76696b6dfda190526096b7cf-p_e.jpg,2025-05-23T18:18:22.376512,100.0,False,Plymouth
zillow_rapidapi,82641436,"5829 12th Ave S, Minneapolis, MN 55417",285000.0,3,2,2732.0,6098.4,2000,44.896812,-93.25743,Single Family,https://www.zillow.com/homedetails/5829-12th-Ave-S-Minneapolis-MN-55417/82641436_zpid/,457500.0,3.0,0.0,,https://photos.zillowstatic.com/fp/27693f8c12d6abb202bbac0077013401-p_e.jpg,2025-05-23T18:18:22.376583,104.0,False,Eagan
zillow_rapidapi,1774520,"2614 Logan Ave N, Minneapolis, MN 55411",260000.0,5,3,2464.0,5662.8,2000,45.00649,-93.302795,Single Family,https://www.zillow.com/homedetails/2614-Logan-Ave-N-Minneapolis-MN-55411/1774520_zpid/,262400.0,30.0,0.0,,https://photos.zillowstatic.com/fp/d489e5babfcc658ee1aefc496f576a68-p_e.jpg,2025-05-23T18:18:22.376649,106.0,False,Roseville
zillow_rapidapi,1861737,"5209 38th Ave S, Minneapolis, MN 55417",350000.0,3,2,2146.0,5227.2,2000,44.90864,-93.2174,Single Family,https://www.zillow.com/homedetails/5209-38th-Ave-S-Minneapolis-MN-55417/1861737_zpid/,0.0,9.0,0.0,,https://photos.zillowstatic.com/fp/6446dc87b383b7bac0122f40cee4dcf4-p_e.jpg,2025-05-23T18:18:22.376723,163.0,False,Roseville
