data_source,zpid,address,price,bedrooms,bathrooms,sqft,lot_size,year_built,latitude,longitude,property_type,listing_url,zestimate,days_on_market,price_change,listing_status,photos,last_updated,price_per_sqft,has_garage,neighborhood,overall_score,price_score,commute_score,size_score,age_score,location_score,market_score,meets_requirements,recommendation
zillow_rapidapi,1801660,"4017 Cedar Ave S, Minneapolis, MN 55407",375000.0,4.0,2.0,2433.0,4791.6,2000,44.92992,-93.24695,Single Family,https://www.zillow.com/homedetails/4017-Cedar-Ave-S-Minneapolis-MN-55407/1801660_zpid/,375900.0,1.0,0.0,For Sale,https://photos.zillowstatic.com/fp/9439ad1f7ff639a9b111de308cdafc26-p_e.jpg,2025-05-24T14:10:24.351442,154.0,False,Minneapolis,0.794,0.625,0.863,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1808634,"4655 Emerson Ave N, Minneapolis, MN 55412",135000.0,2.0,1.0,875.0,0.12,2000,45.04001,-93.29563,Single Family,https://www.zillow.com/homedetails/4655-Emerson-Ave-N-Minneapolis-MN-55412/1808634_zpid/,0.0,7.0,0.0,For Sale,https://photos.zillowstatic.com/fp/c2d57be282e5daeeac39673f88bf6a61-p_e.jpg,2025-05-24T14:10:19.560335,154.0,False,Minneapolis,0.794,0.865,0.818,0.729,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1803357,"1601 Lowry Ave NE, Minneapolis, MN 55418",275000.0,3.0,1.0,1778.0,5662.8,2000,45.013443,-93.236946,Single Family,https://www.zillow.com/homedetails/1601-Lowry-Ave-NE-Minneapolis-MN-55418/1803357_zpid/,0.0,10.0,0.0,For Sale,https://photos.zillowstatic.com/fp/a0974efac98a2ffcba81913af1a3c69a-p_e.jpg,2025-05-24T14:10:19.559082,155.0,False,Minneapolis,0.79,0.725,0.887,0.844,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1774255,"2938 Penn Ave N, Minneapolis, MN 55411",99900.0,2.0,1.0,748.0,5227.2,2000,45.010807,-93.30786,Single Family,https://www.zillow.com/homedetails/2938-Penn-Ave-N-Minneapolis-MN-55411/1774255_zpid/,0.0,226.0,0.0,For Sale,https://photos.zillowstatic.com/fp/3ac76ffc4a5761f170239fcaf7a01df8-p_e.jpg,2025-05-24T14:10:19.560147,134.0,False,Minneapolis,0.789,0.9,0.876,0.623,0.8,0.7,0.7,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1747070,"3812 46th Ave S, Minneapolis, MN 55406",364900.0,3.0,2.0,2362.0,5227.2,2000,44.933838,-93.20802,Single Family,https://www.zillow.com/homedetails/3812-46th-Ave-S-Minneapolis-MN-55406/1747070_zpid/,406100.0,10.0,-10000.0,For Sale,https://photos.zillowstatic.com/fp/10476e496589c479f4c3686281c10822-p_e.jpg,2025-05-24T14:10:24.351308,154.0,False,Minneapolis,0.789,0.635,0.835,0.99,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1920008,"5452 27th Ave S, Minneapolis, MN 55417",299900.0,2.0,2.0,1128.0,5227.2,2000,44.90377,-93.234,Single Family,https://www.zillow.com/homedetails/5452-27th-Ave-S-Minneapolis-MN-55417/1920008_zpid/,296700.0,4.0,0.0,For Sale,https://photos.zillowstatic.com/fp/6bb7132f84188a88f52b33285ef42706-p_e.jpg,2025-05-24T14:10:19.559884,266.0,False,Minneapolis,0.788,0.7,0.787,0.94,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1749437,"4448 43rd Ave S, Minneapolis, MN 55406",250000.0,2.0,2.0,1608.0,5227.2,2000,44.921925,-93.21184,Single Family,https://www.zillow.com/homedetails/4448-43rd-Ave-S-Minneapolis-MN-55406/1749437_zpid/,0.0,1.0,0.0,For Sale,https://photos.zillowstatic.com/fp/0f4c13f2b37ff38d3143faec502eadda-p_e.jpg,2025-05-24T14:10:19.560284,155.0,False,Minneapolis,0.786,0.75,0.814,0.802,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1805365,"1711 22nd Ave NE, Minneapolis, MN 55418",299900.0,4.0,2.0,1490.0,5227.2,2000,45.00987,-93.23524,Single Family,https://www.zillow.com/homedetails/1711-22nd-Ave-NE-Minneapolis-MN-55418/1805365_zpid/,300200.0,0.0,0.0,For Sale,https://photos.zillowstatic.com/fp/59992b3905b92a120ea3fd8fc6868661-p_e.jpg,2025-05-24T14:10:19.558579,201.0,False,Minneapolis,0.785,0.7,0.894,0.772,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1808204,"4715 Camden Ave N, Minneapolis, MN 55430",249000.0,3.0,2.0,1792.0,5227.2,2000,45.040737,-93.28925,Single Family,https://www.zillow.com/homedetails/4715-Camden-Ave-N-Minneapolis-MN-55430/1808204_zpid/,252200.0,8.0,0.0,For Sale,https://photos.zillowstatic.com/fp/0c2700e8344571f30da503207af0359d-p_e.jpg,2025-05-24T14:10:19.559316,139.0,False,Minneapolis,0.784,0.751,0.82,0.848,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1812683,"643 Pierce St NE, Minneapolis, MN 55413",325000.0,3.0,2.0,1708.0,4791.6,2000,44.996326,-93.240616,Single Family,https://www.zillow.com/homedetails/643-Pierce-St-NE-Minneapolis-MN-55413/1812683_zpid/,0.0,8.0,0.0,For Sale,https://photos.zillowstatic.com/fp/50346109f443637b79f8a1b0f27e5640-p_e.jpg,2025-05-24T14:10:19.559710,190.0,False,Minneapolis,0.784,0.675,0.93,0.827,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
